dataset,group_id,compatible_label,dbfs_dc,band80_centroid_hz
ICBHI,101,Normal,-27.05079406410748,122.51060884108496
ICBHI,102,Normal,-33.088231511307484,167.06820166490522
ICBHI,103,Normal,-12.265260860006956,229.22950063190095
ICBHI,103,Wheeze,-10.70653094724279,189.2844243788896
ICBHI,104,Crackle,-29.06089884005105,256.90867693858405
ICBHI,104,Normal,-24.27065768415016,214.79732629459903
ICBHI,104,Wheeze,-23.49187659483929,230.3499857399455
ICBHI,105,Normal,-30.65083657641781,859.1366193130837
ICBHI,106,Crackle,-28.352063807658904,124.63864373407549
ICBHI,106,Normal,-26.22006162976326,130.96235518464596
ICBHI,106,Wheeze,-14.497275301664098,103.87038986264407
ICBHI,107,Both,-9.17232075262536,146.22731272163756
ICBHI,107,Crackle,-9.478732591087468,132.53510245585113
ICBHI,107,Normal,-9.633594793316425,175.80443157926197
ICBHI,107,Wheeze,-9.67338374571654,152.86623452197134
ICBHI,108,Normal,-22.009303328709045,110.46387806625177
ICBHI,109,Crackle,-23.83714639477207,148.5208740730766
ICBHI,109,Normal,-24.063147819703556,162.58187266180187
ICBHI,110,Both,-8.045659023670298,112.6132338479634
ICBHI,110,Crackle,-8.801222354493596,115.13283633371624
ICBHI,110,Normal,-10.990147996784197,137.40860053697776
ICBHI,110,Wheeze,-11.55224711406386,142.94500310660123
ICBHI,111,Normal,-43.45758665733547,526.0125451548722
ICBHI,112,Both,-14.35506819936598,153.28706111554726
ICBHI,112,Crackle,-12.232368572534382,148.76679942922354
ICBHI,112,Normal,-23.236774008357685,156.90043532642315
ICBHI,112,Wheeze,-19.976155799556643,134.89081844664037
ICBHI,113,Normal,-19.11242937932014,166.26199415530073
ICBHI,114,Both,-18.95685366277901,134.0974085460886
ICBHI,114,Crackle,-21.09674458330193,142.9690887502375
ICBHI,114,Normal,-20.8103131844137,183.06835312983097
ICBHI,114,Wheeze,-18.00095995122342,142.13664327014916
ICBHI,115,Normal,-23.259016045285172,188.2250042993994
ICBHI,115,Wheeze,-24.321807545277103,131.1292897579028
ICBHI,116,Normal,-34.87977185542026,384.33027216719427
ICBHI,116,Wheeze,-32.17830350512371,154.39426544844864
ICBHI,117,Normal,-46.48519081121039,275.32627025205784
ICBHI,117,Wheeze,-45.14798725871941,305.3841257518931
ICBHI,118,Normal,-20.92604539456222,189.99846555603557
ICBHI,118,Wheeze,-18.650164007703346,190.9635444932138
ICBHI,119,Normal,-36.09475859195273,129.06806381154166
ICBHI,120,Crackle,-10.864873812904172,244.37809075039695
ICBHI,120,Normal,-12.14996040791174,154.70598460447036
ICBHI,121,Normal,-22.325748657919597,411.4680564367341
ICBHI,122,Normal,-22.303887696344972,138.53410828460684
ICBHI,122,Wheeze,-22.119986924417574,138.76523807284934
ICBHI,123,Normal,-13.836153451847174,113.62845853759563
