feature,dataset,compatible_label,n_groups,median,ci95_low,ci95_high
dbfs_dc,ICBHI,Normal,124,-21.846164616942957,-23.236774008357685,-20.868179289487962
dbfs_dc,ICBHI,Crackle,74,-20.886779248843638,-22.711257329609186,-18.35941585937512
dbfs_dc,ICBHI,Wheeze,63,-18.484489343122476,-21.426509295749653,-16.088366277632687
dbfs_dc,ICBHI,Both,35,-15.55814297262618,-20.693746572251072,-12.800009722085166
dbfs_dc,SPRSound,Normal,274,-50.958594474509724,-51.211432487291226,-50.54968396466148
dbfs_dc,SPRSound,Crackle,89,-48.837380115629585,-50.0848589299145,-47.63487591256151
dbfs_dc,SPRSound,Wheeze,63,-46.064676698025096,-47.705568190695274,-45.38833628360577
dbfs_dc,SPRSound,Both,10,-40.68329094711567,-45.918901214629095,-34.510780908507954
band80_centroid_hz,ICBHI,Normal,124,147.95655947761793,139.8618593165018,157.0905020022873
band80_centroid_hz,ICBHI,Crackle,74,143.98774498879345,137.80358405403945,147.79600938830214
band80_centroid_hz,ICBHI,Wheeze,63,152.86623452197134,138.76523807284934,160.5358751586431
band80_centroid_hz,ICBHI,Both,35,146.87880363428138,134.0974085460886,151.39034214953438
band80_centroid_hz,SPRSound,Normal,274,176.90900892140172,174.9033652184878,181.52580382826363
band80_centroid_hz,SPRSound,Crackle,89,193.8007999670508,187.8966468299877,197.26528989352173
band80_centroid_hz,SPRSound,Wheeze,63,208.8239533208544,193.08941243661943,221.53103484513596
band80_centroid_hz,SPRSound,Both,10,215.25676091694538,191.26961400531826,226.33896007698428
