evidence_layer,block,seed_or_n,metric,value,sample_std,source,paper_location,interpretation_boundary
test_selected_benchmark,JH2_ICBHI,3,specificity,0.7498416719442685,0.05689597493716062,result/reproduce/pafa_joint_hierarchy/PAFA_JH2_main_multiseed/multiseed_summary.json,Section/4evaluation.tex,ICBHI-test-selected checkpoint; SPR inter evaluated after checkpoint selection
test_selected_benchmark,JH2_ICBHI,3,sensitivity,0.47352024922118385,0.05352816095760636,result/reproduce/pafa_joint_hierarchy/PAFA_JH2_main_multiseed/multiseed_summary.json,Section/4evaluation.tex,ICBHI-test-selected checkpoint; SPR inter evaluated after checkpoint selection
test_selected_benchmark,JH2_ICBHI,3,official_score,0.6116809605827261,0.0031387308369878607,result/reproduce/pafa_joint_hierarchy/PAFA_JH2_main_multiseed/multiseed_summary.json,Section/4evaluation.tex,ICBHI-test-selected checkpoint; SPR inter evaluated after checkpoint selection
test_selected_benchmark,JH2_ICBHI,3,macro_f1,0.4973224913907109,0.010593442367507118,result/reproduce/pafa_joint_hierarchy/PAFA_JH2_main_multiseed/multiseed_summary.json,Section/4evaluation.tex,ICBHI-test-selected checkpoint; SPR inter evaluated after checkpoint selection
test_selected_benchmark,JH2_ICBHI,3,uar,0.5040489142355803,0.030277153983431372,result/reproduce/pafa_joint_hierarchy/PAFA_JH2_main_multiseed/multiseed_summary.json,Section/4evaluation.tex,ICBHI-test-selected checkpoint; SPR inter evaluated after checkpoint selection
test_selected_benchmark,JH2_ICBHI_class_recall,3,normal,0.7498416719442685,0.05689597493716062,result/reproduce/pafa_joint_hierarchy/PAFA_JH2_main_multiseed/multiseed_summary.json,Section/4evaluation.tex,ICBHI-test-selected checkpoint; SPR inter evaluated after checkpoint selection
test_selected_benchmark,JH2_ICBHI_class_recall,3,crackle,0.6019517205957884,0.0848204368206028,result/reproduce/pafa_joint_hierarchy/PAFA_JH2_main_multiseed/multiseed_summary.json,Section/4evaluation.tex,ICBHI-test-selected checkpoint; SPR inter evaluated after checkpoint selection
test_selected_benchmark,JH2_ICBHI_class_recall,3,wheeze,0.2961038961038961,0.020779220779220786,result/reproduce/pafa_joint_hierarchy/PAFA_JH2_main_multiseed/multiseed_summary.json,Section/4evaluation.tex,ICBHI-test-selected checkpoint; SPR inter evaluated after checkpoint selection
test_selected_benchmark,JH2_ICBHI_class_recall,3,both,0.3682983682983683,0.11369462375997388,result/reproduce/pafa_joint_hierarchy/PAFA_JH2_main_multiseed/multiseed_summary.json,Section/4evaluation.tex,ICBHI-test-selected checkpoint; SPR inter evaluated after checkpoint selection
test_selected_benchmark,JH2_SPRSound,3,sensitivity,0.9760068551842331,0.01214862628856711,result/reproduce/pafa_joint_hierarchy/PAFA_JH2_main_multiseed/multiseed_summary.json,Section/4evaluation.tex,ICBHI-test-selected checkpoint; SPR inter evaluated after checkpoint selection
